timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539337780706966,-19,41,5,-2,0,0,-4,-4
1539337780706966,-2,7,1,-3,0,0,-3,0
1539337780707964,0,-11,-2,-2,2,3,-3,0
1539337780707964,9,-61,-9,-1,-3,-4,2,-2
1539337780707964,3,-3,4,-3,-3,-1,-4,-3
1539337780707964,-3,9,2,0,0,0,-3,0
1539337780719958,1,0,-3,-2,-2,0,-2,-1
1539337780719958,19,-59,-15,-1,-1,-3,3,-2
1539337780720929,-22,34,12,3,0,2,1,1
1539337780720929,-2,1,3,-1,0,0,-2,-1
1539337780727057,38,-39,-10,-3,-1,0,-7,-3
1539337780727057,-32,20,13,4,1,-2,6,1
1539337780734894,10,-23,-8,-2,-3,-2,-2,1
1539337780734894,1,-5,-2,0,0,1,-3,-1
1539337780752858,3,-1,-4,-1,1,-1,1,1
1539337780752858,4,4,-4,-2,0,-3,2,0
1539337780755949,-2,18,0,-1,1,0,0,-1
1539337780755949,-11,19,4,2,0,0,0,0
1539337780774786,-15,7,2,-1,-1,-3,-2,-2
1539337780774786,-2,7,-2,-1,-2,0,2,-1
1539337780778858,-4,2,1,1,2,1,0,0
1539337780778858,24,-26,-9,-2,-1,2,-2,1
1539337780793741,-29,36,21,7,3,2,4,-1
1539337780793741,22,-63,-12,-2,-4,-5,-3,-2
1539337780794732,-34,-40,-3,4,2,2,0,-2
1539337780794732,-8,-16,-2,-1,1,1,-2,-4
1539337780841607,52,-39,-12,-1,-5,-5,4,6
1539337780841607,-3,41,2,-2,-4,-1,-2,2
1539337780842722,-2,27,7,0,1,3,-3,2
1539337780842722,13,4,1,0,-1,0,-2,2
1539337780843717,12,25,4,3,1,-1,6,1
1539337780843717,-9,17,1,-1,-2,-2,0,-1
1539337780846706,1,1,0,-1,0,0,-2,0
1539337780846706,-29,20,5,-1,2,2,-1,1
1539337780853632,-13,-34,-4,0,0,-1,2,-3
1539337780853632,4,-17,-4,0,-3,0,-1,-1
1539337780860667,-8,5,2,0,1,1,-1,-1
1539337780860667,-17,15,4,-1,-1,-1,-2,-2
1539337780869532,-10,-34,-9,-2,-1,-2,2,-2
1539337780869532,-5,-15,-3,-1,-1,-1,-3,-3
1539337780883497,-1,2,-4,1,0,1,-5,-3
1539337780883497,30,-48,-9,-3,-1,-2,-3,-3
1539337780890654,-8,-6,3,-1,-2,-2,3,0
1539337780890654,-14,5,3,-2,1,-1,-2,-3
1539337780905436,56,-58,-20,-8,-5,-2,-5,3
1539337780905436,-19,-34,-7,1,-1,1,-1,-5
1539337780914451,-53,52,6,1,0,1,3,-5
1539337780914451,6,-34,-11,-2,0,-2,-1,-5
1539337780929372,1,0,4,0,0,-1,-1,0
1539337780929372,-2,20,-2,0,0,0,0,2
1539337780931366,19,-37,-5,-1,-1,-1,-1,2
1539337780931366,-12,49,9,0,0,0,4,3
1539337780952459,-17,79,10,0,1,0,-1,0
1539337780952459,2,9,3,0,1,0,0,1
1539337780953360,-1,-9,-1,1,-1,-1,1,-1
1539337780953360,10,0,-2,-1,-2,-1,-1,1
1539337780965276,0,-16,-2,-1,0,0,-1,-2
1539337780965276,7,13,5,2,-1,1,-1,2
1539337780974344,19,3,-2,0,0,0,1,2
1539337780974344,-2,32,11,2,1,0,1,2
1539337780989214,3,-31,-5,-2,0,-1,-3,-4
1539337780989214,15,-61,-8,-3,-1,-1,-2,-4
1539337780991208,-11,-2,4,4,1,0,1,-2
1539337780991208,9,-17,-3,-2,-2,0,-4,-2
1539337781012231,-9,1,4,0,-1,-1,2,-1
1539337781012231,27,-4,-15,-9,-3,-2,-3,-1
1539337781014145,10,-31,-5,-3,-1,-1,-1,-2
1539337781014145,-6,-24,-2,1,2,0,-2,-3
1539337781026150,-8,6,0,0,-2,0,0,0
1539337781026150,-2,13,-1,-1,-1,-1,-1,0
1539337781035089,-4,1,1,-3,-1,-3,-1,-1
1539337781035089,-12,17,0,2,-1,0,-1,-2
1539337781049053,-17,-3,2,3,2,3,0,-2
1539337781049053,24,-30,1,0,1,-1,0,2
1539337781051048,-10,1,-1,0,-1,-1,0,0
1539337781051048,4,-14,-2,-1,-1,-1,-1,-1
1539337781079993,5,-5,-4,1,-2,0,1,-1
1539337781079993,-17,31,7,2,2,2,2,3
1539337781080967,17,-16,-2,-3,-2,0,-3,-2
1539337781080967,8,8,6,-1,-1,0,-1,-1
1539337781086012,-2,-6,2,0,0,-2,-1,2
1539337781086012,-3,8,0,1,0,-1,-1,-1
1539337781094930,-14,31,0,-2,-3,-1,0,0
1539337781094930,-11,-2,-1,0,-2,1,0,-2
1539337781110034,-5,14,2,0,0,0,-2,-2
1539337781110034,-8,6,2,2,1,1,0,-1
1539337781110889,27,-27,-11,-2,-2,-2,-3,1
1539337781110889,24,-21,-8,-4,-3,-1,-1,1
1539337781131831,-5,18,3,0,0,0,1,0
1539337781131831,0,42,0,1,0,-2,0,-3
1539337781133826,3,2,5,2,1,0,1,2
1539337781133826,-1,-2,1,-1,0,0,-1,1
1539337781145852,-6,-7,-6,-1,0,-3,-1,-1
1539337781145852,-8,2,2,1,0,1,0,-2
1539337781154770,-6,-6,-1,1,0,-2,-1,-1
1539337781154770,-1,0,-1,0,1,-1,-2,-1
1539337781169811,11,-7,0,-1,1,0,0,1
1539337781169811,-8,-2,2,0,-2,-1,2,-1
1539337781170857,-19,32,1,0,1,1,1,2
1539337781170857,-8,9,3,-1,-1,0,1,1
1539337781191701,-2,0,1,0,0,-1,-1,-1
1539337781191701,-1,-12,-3,-1,1,-3,-2,0
1539337781193667,-4,-7,0,0,-3,0,0,-3
1539337781193667,-2,0,-3,-2,0,1,-2,-2
1539337781205659,31,-56,-9,-2,-2,-1,-1,1
1539337781205659,-31,-39,-9,-4,-2,-2,-2,-10
