timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539353841154370,-1,-2,-2,-1,0,0,1,0
1539353841154370,-2,1,-1,-1,-1,0,0,-1
1539353841155367,0,-1,-1,0,1,0,-2,0
1539353841155367,-1,-1,0,0,0,-1,1,-1
1539353841156365,-3,-1,-3,0,0,-2,0,0
1539353841156365,-1,0,-1,1,-1,-1,1,-1
1539353841177309,0,1,-2,-2,-1,0,-2,-1
1539353841177309,0,-1,1,1,-1,0,0,-1
1539353841178306,-1,-2,0,-1,-1,0,0,-2
1539353841178306,0,-1,-1,0,-1,0,0,0
1539353841183300,0,2,0,1,1,-1,-1,0
1539353841183300,-2,-2,-3,-1,1,1,-1,0
1539353841184290,-1,0,0,-1,1,0,1,0
1539353841184290,0,0,-2,-1,-1,-1,-1,1
1539353841191273,0,0,3,0,-1,0,0,0
1539353841191273,0,-2,1,-1,0,0,-1,-2
1539353841191273,-2,0,-2,-2,0,-1,2,0
1539353841191273,-1,0,0,-2,-1,-1,1,0
1539353841214211,0,0,0,0,0,0,0,0
1539353841214211,-1,-1,2,-1,0,2,0,1
1539353841215215,-1,-2,1,-1,-2,1,-1,0
1539353841215215,0,1,1,0,0,1,0,-2
1539353841227266,-3,0,-2,0,0,-1,-2,-1
1539353841227266,2,0,-1,0,0,0,-1,0
1539353841242136,0,-1,-2,-1,-2,-3,0,-1
1539353841242136,-1,-1,-1,0,-3,-2,0,-1
1539353841249297,1,-1,0,1,0,1,-1,-2
1539353841249297,0,0,-2,0,-2,-1,0,-1
1539353841250114,0,0,-1,0,0,0,-1,1
1539353841250114,0,1,0,0,1,-2,1,1
1539353841295992,-1,-1,-1,-1,0,1,0,-1
1539353841295992,-2,-1,0,-1,0,-1,0,2
1539353841296989,0,1,-1,0,-1,-1,1,1
1539353841296989,2,0,-2,0,1,-2,-2,-1
1539353841298984,0,-1,1,0,0,0,1,-3
1539353841298984,-2,0,-2,-2,0,0,-1,-2
1539353841310962,-2,0,-1,0,0,0,-1,-1
1539353841310962,-2,-1,0,0,0,0,-3,0
1539353841312946,0,-1,-1,0,1,-2,1,1
1539353841312946,-1,0,-1,-1,1,0,1,-1
1539353841346922,1,1,1,-1,-1,-1,-3,-1
1539353841346922,-1,0,-1,-1,-2,-1,-2,0
1539353841347853,0,0,-2,-1,-1,-1,0,-1
1539353841347853,-2,0,-2,1,0,-2,1,-1
1539353841354842,-2,0,-1,2,-1,-1,-3,-2
1539353841354842,1,-1,-1,1,0,-1,0,-1
1539353841355831,-1,-2,-2,-2,-1,0,0,-1
1539353841355831,-1,0,-2,0,-1,-1,-1,0
1539353841356837,1,0,0,1,-1,0,-2,0
1539353841356837,-1,0,1,0,0,0,-1,-1
1539353841393731,0,-1,0,1,0,-1,0,0
1539353841393731,0,-2,-1,-2,-1,0,-1,0
1539353841394727,1,0,0,-3,-2,-2,-1,0
1539353841394727,0,1,2,1,0,-1,-1,0
1539353841395734,1,-1,-1,-2,1,0,0,-1
1539353841395734,0,0,-2,-1,-2,0,-2,1
1539353841399724,1,0,-2,2,1,-2,0,-2
1539353841399724,0,-1,-1,-1,-1,1,-1,0
1539353841422653,-3,0,0,1,-1,1,0,0
1539353841422653,-1,-1,0,-1,0,-1,0,-1
1539353841423658,-1,1,0,1,0,0,-1,-2
1539353841423658,2,-1,1,0,-2,1,0,0
1539353841453636,-1,0,1,1,-2,0,-2,0
1539353841453636,-2,0,0,-1,-2,0,-2,1
1539353841453636,0,0,1,-1,-2,0,1,1
1539353841453636,-1,-1,0,-1,1,-2,1,-1
1539353841455584,-1,-1,-1,-1,-1,-1,0,0
1539353841455584,0,0,1,-1,-3,1,-1,0
1539353841459554,-1,-1,0,-2,0,-1,0,0
1539353841459554,0,1,-2,2,0,1,-1,-2
1539353841489474,-1,-1,0,1,-3,-2,2,0
1539353841489474,-2,1,-1,0,-2,0,2,-2
1539353841490472,-1,0,-1,0,-1,0,0,-1
1539353841490472,-1,1,1,0,-2,-1,0,0
1539353841497461,0,-1,-1,-1,0,1,0,-1
1539353841497461,-1,0,1,-1,0,-1,1,0
1539353841498450,0,0,1,-1,0,0,-1,-1
1539353841498450,1,1,-1,-1,3,-1,-1,-3
1539353841527381,0,0,-1,-1,0,-1,1,-1
1539353841527381,0,0,0,0,-1,-2,0,-1
1539353841528379,0,0,-1,-1,0,-1,-1,0
1539353841528379,-1,1,0,0,-2,0,0,1
1539353841534530,-1,0,0,-1,-1,0,0,-1
1539353841534530,1,-1,-3,0,2,-1,0,-2
1539353841535530,-1,0,-1,-2,-1,0,1,0
1539353841535530,-1,-1,2,0,0,1,0,1
1539353841557377,-2,1,0,0,0,1,0,-3
1539353841557377,-1,-2,2,1,-2,-1,-2,0
1539353841558292,0,1,-3,1,-2,0,-2,-1
1539353841558292,0,-1,-2,-1,0,0,1,-1
1539353841596196,0,-2,0,0,-1,0,0,1
1539353841596196,-2,0,-2,-1,-2,0,-1,-2
1539353841597187,0,-1,-2,0,-1,2,0,0
1539353841597187,0,-2,0,0,-1,-1,0,1
1539353841598184,-1,-2,0,0,1,0,-1,0
1539353841598184,2,0,-1,-1,-1,1,0,-2
1539353841609161,1,-1,0,-2,-1,0,0,2
1539353841609161,-3,1,0,-3,2,-1,-2,-1
1539353841616143,-2,0,-1,0,1,-2,1,0
1539353841616143,-1,1,2,-1,1,-1,-1,-1
1539353841624117,-1,0,1,0,0,0,1,-1
1539353841624117,2,-2,-1,1,-1,2,0,0
1539353841678979,0,-1,-2,-2,-1,0,-1,0
1539353841678979,1,1,-2,-1,0,1,-1,-1
1539353841679973,0,-1,-2,2,-1,-1,0,1
1539353841679973,0,0,-1,0,-1,0,1,-1
1539353841680970,0,0,0,-1,0,-1,1,1
1539353841680970,-1,-1,-1,1,-1,1,1,1
1539353841685956,-1,1,2,0,0,0,-1,-2
1539353841685956,-3,-2,-1,1,-2,-1,0,-1
1539353841686946,0,-2,0,1,-1,-1,-2,0
1539353841686946,-1,0,-2,-1,1,-2,-1,-1
1539353841730839,0,1,-1,0,0,0,0,0
1539353841730839,0,0,1,-1,-1,-1,-1,-1
1539353841730839,-2,-1,0,-1,-2,0,0,-1
1539353841730839,1,-1,1,0,-1,-2,-2,1
1539353841745831,0,-1,0,-2,-1,1,0,-1
1539353841745831,-1,-1,0,0,-1,0,0,-1
1539353841746788,-1,-1,-2,-1,0,0,-1,0
1539353841746788,-1,-1,1,0,-1,-1,1,1
1539353841748783,0,0,0,-2,1,0,-1,-1
1539353841748783,0,-2,0,0,-1,-1,2,2
1539353841761748,0,-1,1,-1,0,0,-1,-1
1539353841761748,-1,-2,-3,0,-1,1,-1,0
1539353841762744,1,0,-2,-1,-1,0,-2,0
1539353841762744,1,-2,-1,2,1,0,-3,0
1539353841765737,-1,-1,-2,0,0,0,-1,0
1539353841765737,0,0,-2,0,1,-1,1,0
1539353841782692,0,-1,-1,-1,-1,-1,1,-1
1539353841782692,-2,0,-1,-2,-1,-1,1,0
1539353841783689,0,0,0,1,0,-2,0,-1
1539353841783689,-2,-1,1,-1,0,-2,-3,-3
1539353841798650,-2,-1,-2,1,-3,1,0,-2
1539353841798650,0,-1,-1,0,-1,-1,-1,-2
1539353841800668,1,-1,-1,0,0,0,0,0
1539353841800668,0,-2,-1,-2,-1,1,0,-2
1539353841835549,-2,0,0,1,0,-2,-2,-2
1539353841835549,-2,0,0,1,-1,0,0,-1
1539353841837544,0,0,0,-1,-1,-1,0,-1
1539353841837544,1,0,-1,-1,1,0,1,2
1539353841837544,0,1,1,-1,0,-1,1,-1
1539353841837544,0,-1,-1,-2,0,0,-1,-1
1539353841850509,0,0,0,0,0,0,0,0
1539353841850509,-2,0,-1,-1,0,-1,-1,-1
1539353841857491,-2,1,-1,-1,1,1,-1,-1
1539353841857491,-1,-1,-1,1,1,1,0,-1
1539353841863474,1,-1,-2,0,0,-1,0,-1
1539353841863474,-1,0,0,0,-3,-1,0,1
1539353841879499,1,0,1,1,-1,0,1,1
1539353841879499,0,-1,0,0,-2,0,-2,1
1539353841886486,0,-1,0,0,-2,0,0,-1
1539353841886486,-2,0,-1,1,0,2,-1,0
1539353841902435,-1,0,0,-1,0,0,0,1
1539353841902435,0,0,-1,-1,0,-1,1,2
1539353841904366,-1,-1,-1,-2,0,0,1,-1
1539353841904366,0,1,-1,-1,0,-1,-2,-1
1539353841917331,1,-2,0,-1,-2,-1,-2,-1
1539353841917331,0,1,-3,-1,1,0,-1,-2
1539353841919327,-1,0,-1,-1,0,2,-1,0
1539353841919327,0,-3,-1,1,0,-1,2,0
1539353841940270,0,1,-1,1,-2,0,-1,0
1539353841940270,-1,-1,0,0,0,0,-1,0
1539353841941267,-2,1,0,0,-1,-3,1,0
1539353841941267,-1,0,1,-1,-1,1,-1,-1
1539353841953235,-1,1,-1,-1,0,0,-1,-2
1539353841953235,-1,-2,-1,-2,-1,-1,-1,-1
1539353841962211,-2,-2,0,0,-2,0,-1,0
1539353841962211,0,-2,0,-1,0,-1,-1,0
1539353841985150,-1,-1,-1,1,-1,-1,-1,0
1539353841985150,1,-1,-1,-1,-1,-1,0,-1
1539353841986147,0,0,-2,0,1,-1,-1,-2
1539353841986147,1,-1,-1,-2,-1,-1,0,-1
1539353842007092,-1,0,-1,-1,0,-1,0,1
1539353842007092,-2,-1,-1,-1,0,2,0,1
1539353842009086,0,0,1,0,-2,1,2,2
1539353842009086,-1,-1,0,2,-3,1,0,-1
1539353842013088,-1,2,0,-2,1,-1,0,-2
1539353842013088,0,0,1,-1,0,-4,-1,1
1539353842022051,0,0,0,-1,1,-1,-1,-1
1539353842022051,-1,0,-2,-1,0,0,-1,0
1539353842037010,-1,-1,-1,-1,-1,-2,0,-1
1539353842037010,0,1,0,0,0,-1,-2,0
1539353842039006,0,-2,1,1,0,0,-1,2
1539353842039006,0,-2,1,0,1,0,0,0
1539353842059949,0,0,0,1,-1,1,-1,1
1539353842059949,-2,-1,1,1,-1,1,0,-1
1539353842061949,-1,-1,-1,0,0,-1,1,-1
1539353842061949,0,0,-1,-1,1,-1,0,-2
1539353842073915,0,-2,0,-1,2,-1,0,-2
1539353842073915,1,-1,-1,-1,-1,1,-1,0
1539353842082888,-1,0,0,-1,-1,1,-2,-2
1539353842082888,-2,0,-1,-2,-1,-1,0,-1
1539353842097849,0,-2,0,-1,-2,0,0,-2
1539353842097849,1,1,-1,-1,-1,0,1,-1
1539353842098846,1,-1,-2,-3,1,-3,-1,0
1539353842098846,0,-1,0,0,0,-1,0,-2
1539353842119790,2,0,0,-2,-1,-1,-2,-1
1539353842119790,-1,-1,1,-1,-2,1,-1,-1
1539353842121785,-2,-1,-2,0,-2,-2,0,-2
1539353842121785,-1,0,-3,-1,-1,0,0,0
1539353842142728,-3,-2,-2,1,0,-1,-1,1
1539353842142728,-1,-2,-1,2,0,0,1,-2
1539353842143726,-1,-1,-1,-1,1,2,-1,-1
1539353842143726,-2,-1,-2,1,0,-2,0,0
1539353842157688,0,-1,0,1,1,1,0,0
1539353842157688,1,1,0,0,-1,0,-1,-1
1539353842178633,0,-1,1,0,0,0,0,-1
1539353842178633,0,-2,1,-1,-2,-1,0,-1
1539353842187609,-1,0,0,-1,-2,0,0,-2
1539353842187609,-2,-1,1,1,-2,-2,-1,1
1539353842188606,0,-2,1,-1,0,-1,-1,1
1539353842188606,-2,0,1,0,-1,0,-3,2
1539353842193593,-1,-2,0,0,0,0,0,-1
1539353842193593,1,0,1,-1,0,0,0,-1
1539353842219523,0,0,-3,0,-2,1,-1,-2
1539353842219523,0,-1,-1,0,-1,-1,-1,-2
1539353842220520,1,-1,0,1,1,-1,1,0
1539353842220520,0,-1,-2,0,0,-2,-1,0
1539353842223512,1,-1,-1,0,0,0,0,0
1539353842223512,-1,2,0,-2,0,2,0,-2
1539353842240468,0,-1,-2,-1,-1,-1,-1,-1
1539353842240468,1,-1,-2,-3,1,-2,0,0
1539353842263443,-1,1,1,0,-2,0,1,1
1539353842263443,-1,-1,2,1,-1,-1,1,-1
1539353842264405,1,0,2,-1,-2,-2,0,0
1539353842264405,-1,0,-1,0,-1,0,-1,0
1539353842268393,0,-1,1,0,0,-1,0,-1
1539353842268393,-2,0,0,0,1,-1,-1,1
1539353842278366,-1,1,1,-1,1,-1,-2,1
1539353842278366,0,0,-1,0,-1,-1,-1,-1
1539353842283352,-1,0,0,0,0,-1,-1,-1
1539353842283352,1,-1,-2,0,0,0,0,-1
1539353842300335,1,0,-1,-1,-1,0,0,-1
1539353842300335,1,0,-2,0,0,1,-1,0
1539353842301306,0,0,-2,-1,-1,0,1,-1
1539353842301306,1,2,-1,1,-2,-1,-1,0
1539353842322248,-1,-1,-2,-1,-2,-2,0,-1
1539353842322248,0,-1,2,-2,0,1,-1,0
1539353842324243,-2,-2,-1,1,0,1,-1,-2
1539353842324243,-1,-2,-2,-1,0,-1,-1,0
1539353842345234,0,0,-1,1,1,0,0,0
1539353842345234,-1,1,0,1,-3,0,1,-2
1539353842346186,0,-1,0,1,1,-1,1,2
1539353842346186,1,1,1,-1,-1,1,-1,0
1539353842375107,-1,-1,0,0,-2,1,-2,-1
1539353842375107,-3,1,0,-1,0,-1,-1,-1
1539353842376104,0,-1,0,-1,-2,0,-3,0
1539353842376104,0,-2,-1,1,0,-1,0,-1
1539353842382088,-1,-1,-1,0,-1,-1,0,-1
1539353842382088,-1,0,1,-1,2,0,-1,1
1539353842388072,-1,0,2,-1,-1,0,-1,0
1539353842388072,-1,1,0,-1,0,0,1,-1
1539353842405028,-1,2,0,-2,1,0,0,-2
1539353842405028,0,-1,-1,0,1,0,0,-1
1539353842407022,-1,1,-3,1,1,-1,-1,1
1539353842407022,0,-1,-1,1,-3,-1,1,0
1539353842418991,-2,-1,-1,0,-2,-2,-1,1
1539353842418991,0,0,-2,0,-2,-1,0,-1
1539353842427967,-2,1,0,-1,-2,-1,-3,0
1539353842427967,-2,-1,-1,-1,1,-3,1,-1
1539353842441928,2,-2,-1,0,-2,0,0,-1
1539353842441928,1,-1,1,0,0,1,0,-1
1539353842448909,-1,-1,0,-1,-1,2,0,-2
1539353842448909,-1,-1,-1,-1,0,-1,-1,-1
1539353842472846,-1,-2,0,0,-1,-2,-2,-1
1539353842472846,0,-3,-1,-1,-2,-1,0,-1
1539353842473845,0,-2,-1,0,0,-1,-2,0
1539353842473845,0,-1,0,-1,-1,0,0,-1
1539353842494790,-1,-1,-1,-2,-1,-1,1,0
1539353842494790,-2,-1,1,-1,-1,-1,0,1
1539353842496782,1,1,0,-1,1,-1,0,-1
1539353842496782,0,-2,-2,-2,-1,0,-2,0
1539353842502766,-1,-2,-1,0,0,-1,0,1
1539353842502766,0,0,-2,0,-1,-2,-3,0
1539353842503763,1,1,0,-1,-1,-1,0,-2
1539353842503763,-1,0,-2,-1,-1,1,1,0
1539353842533737,0,0,1,1,0,0,-1,0
1539353842533737,-1,-1,-1,0,-1,0,0,-1
1539353842539669,-1,-1,-1,1,-1,0,1,0
1539353842539669,0,0,0,0,-1,-1,1,0
1539353842540666,1,1,-1,-3,0,1,1,-1
1539353842540666,0,-2,0,-1,0,0,-1,1
1539353842570585,-1,-1,-2,-1,-1,-1,1,-1
1539353842570585,-1,0,2,1,-1,0,-1,0
1539353842571583,-1,-2,1,0,-1,0,0,0
1539353842571583,1,2,-2,-2,-2,-2,-2,-2
1539353842572580,1,0,-1,-1,-1,0,0,2
1539353842572580,-1,1,-1,1,0,1,0,-1
1539353842585546,-1,0,-3,-1,0,1,-2,-2
1539353842585546,1,1,-2,-1,1,-2,-1,-1
1539353842599568,0,0,0,0,0,0,1,-3
1539353842599568,0,0,-1,-1,0,1,-1,-1
1539353842600506,0,-2,-1,-2,1,0,-1,1
1539353842600506,-2,-1,-1,0,0,1,0,0
1539353842607486,-2,-2,1,-1,0,0,1,0
1539353842607486,-1,-1,0,-1,1,-1,0,0
1539353842621448,0,0,0,-1,0,0,-1,-2
1539353842621448,1,-2,2,0,3,1,1,0
1539353842636442,-1,0,-1,-1,0,-3,-1,0
1539353842636442,-1,0,-1,-1,0,0,-1,0
1539353842653424,0,1,-3,2,-2,0,0,-1
1539353842653424,-1,-1,-2,0,-1,0,1,-1
1539353842654362,0,-1,-1,-1,1,1,1,1
1539353842654362,0,-1,-2,-2,-2,-1,0,0
1539353842658414,-1,-1,1,-2,0,-1,-1,0
1539353842658414,-2,0,-1,1,-1,0,0,-2
1539353842667326,-1,-1,0,2,-1,0,-1,-2
1539353842667326,0,-2,1,-1,-1,-1,0,0
1539353842682339,0,0,0,0,1,-1,1,1
1539353842682339,0,1,-1,0,-1,-1,1,-1
1539353842684335,-1,-2,0,-3,-2,0,1,1
1539353842684335,0,0,-1,0,-2,0,-3,-1
1539353842705239,1,-1,-1,1,-1,-1,0,-1
1539353842705239,0,1,-2,-1,2,-1,-2,2
1539353842706224,-1,0,0,1,1,0,0,0
1539353842706224,-2,-2,-3,-3,0,-1,-1,-1
1539353842718227,-3,-1,-1,-2,-1,0,-1,1
1539353842718227,0,0,0,-2,-1,0,1,-1
1539353842727168,-1,0,0,0,-3,0,-1,-1
1539353842727168,0,1,1,0,-2,-1,1,-1
1539353842742181,1,1,-1,-1,-1,-1,1,1
1539353842742181,-1,0,-1,-1,-1,-1,-2,0
1539353842744121,-2,1,1,-1,-1,0,-1,0
1539353842744121,1,0,-2,-1,1,1,1,-1
1539353842772048,0,-2,1,0,0,-2,0,-1
1539353842772048,-2,0,-1,0,1,-2,0,-1
1539353842779028,-1,0,1,-1,0,0,0,-1
1539353842779028,1,-1,1,-1,-1,-2,-1,-2
1539353842780026,0,0,0,-1,0,0,-1,0
1539353842780026,1,-2,-2,0,0,0,0,2
1539353842788004,-2,-1,-2,-1,1,0,-1,0
1539353842788004,-4,-1,-1,-1,0,0,-1,-1
1539353842809946,-3,-2,-2,-1,2,-1,-1,-1
1539353842809946,0,-2,2,1,-2,-1,-1,1
1539353842811941,-1,-1,-2,0,0,-3,-2,0
1539353842811941,0,1,-2,0,0,0,1,-1
1539353842824905,-1,1,-3,1,-3,0,-2,-1
1539353842824905,0,-1,-1,0,0,-1,-2,-1
1539353842826902,1,-2,-1,1,1,0,-1,0
1539353842826902,1,0,1,-1,0,0,0,1
1539353842838925,0,0,-1,1,-1,0,-2,0
1539353842838925,0,0,0,-2,0,1,0,-1
1539353842847906,0,0,1,1,-1,-1,1,-1
1539353842847906,-2,-2,-1,1,0,-1,0,-2
1539353842862804,-1,1,0,-1,0,0,1,-1
1539353842862804,0,-1,-1,0,2,-2,-1,-1
1539353842863802,-1,0,-2,0,0,-1,0,-1
1539353842863802,0,0,-3,0,-1,-1,0,1
1539353842892731,-1,0,0,-1,0,-2,-1,-1
1539353842892731,-1,-2,-2,-1,-1,0,-1,0
1539353842893726,-1,0,0,-1,-2,0,-1,1
1539353842893726,-1,0,-1,0,-1,0,-1,0
1539353842914721,0,-1,-1,0,0,0,0,0
1539353842914721,-1,2,0,1,1,-1,1,-1
1539353842916711,1,-1,-2,0,1,-2,0,-1
1539353842916711,-1,-1,1,-1,-1,0,-1,0
1539353842930673,-1,-2,0,0,1,0,-1,0
1539353842930673,0,-1,1,-2,0,-1,0,0
1539353842945639,1,0,1,-1,0,0,0,0
1539353842945639,-1,0,-1,0,-2,-2,-1,0
1539353842946641,-1,1,0,-1,-2,-1,0,-1
1539353842946641,1,-1,0,0,0,0,-2,-1
1539353842947618,0,-2,-1,-1,-1,0,-1,-1
1539353842947618,0,-2,2,1,-1,0,-1,0
1539353842968521,-1,0,0,-1,0,-2,-1,0
1539353842968521,-2,-1,1,1,-1,2,2,-1
1539353842969518,1,-2,-1,-2,-1,0,2,-1
1539353842969518,-1,0,-2,0,1,1,-2,0
1539353842990501,0,0,-1,1,-3,1,0,0
1539353842990501,-2,1,-1,-1,-1,-2,-1,0
1539353842992459,-2,0,0,-1,-1,0,-1,0
1539353842992459,0,0,-2,-2,0,-1,0,0
1539353843005422,0,0,0,-2,2,-2,-1,0
1539353843005422,0,-1,-1,1,1,0,-1,-1
1539353843006419,0,-1,-2,0,1,3,-1,0
1539353843006419,-1,-2,-1,-2,0,-2,-1,-2
1539353843028372,-1,0,-3,0,0,-2,-1,0
1539353843028372,0,0,-1,-1,-2,-1,0,0
1539353843029360,-1,0,-1,-1,-2,-1,0,0
1539353843029360,-1,0,0,0,1,-1,1,0
1539353843042379,0,-1,-1,1,0,1,0,0
1539353843042379,1,-2,0,-1,1,-1,0,0
1539353843048369,-1,0,1,-3,1,0,0,0
1539353843048369,0,0,0,1,0,0,0,-1
1539353843089201,-2,-1,-1,-1,-1,1,1,0
1539353843089201,-1,-1,0,1,-2,1,0,0
1539353843090197,0,-2,0,-1,-2,-1,-2,1
1539353843090197,2,-1,-1,-1,1,0,0,1
1539353843091194,1,-1,-3,0,-1,-1,0,-1
1539353843091194,-2,0,0,1,-1,0,-1,0
1539353843095183,-1,0,0,-2,0,0,2,0
1539353843095183,1,1,0,-2,-2,0,0,0
1539353843102187,1,-1,1,0,-2,0,-1,-1
1539353843102187,1,-2,0,-1,-3,-1,-1,-1
1539353843116127,-2,1,0,0,-1,-1,-1,-2
1539353843116127,-3,0,-3,-2,1,0,0,0
1539353843149040,-1,0,1,-1,0,0,0,1
1539353843149040,-1,-1,-2,-2,0,0,-2,0
1539353843150037,-1,0,-2,0,0,-1,0,-1
1539353843150037,0,1,0,-1,0,0,0,-1
1539353843151035,0,-2,-1,2,1,-1,0,0
1539353843151035,-1,1,0,0,0,-1,0,0
1539353843170981,0,-2,0,1,-1,-2,-1,-1
1539353843170981,-1,-1,0,-1,-2,0,-1,-1
1539353843170981,-1,0,1,-1,0,-1,-3,-1
1539353843170981,1,0,2,-1,0,0,1,-2
1539353843172976,-2,1,-1,-1,0,2,-1,-1
1539353843172976,-1,0,2,0,-2,-3,1,-1
