timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539353958446581,1,1,3,1,0,0,0,0
1539353958446581,-2,-1,-6,-2,0,0,0,1
1539353958449572,0,-2,-2,-2,0,0,-1,-2
1539353958449572,-1,-1,2,-1,-3,-1,-1,-1
1539353958452574,0,-3,-8,-2,0,0,0,-1
1539353958452574,-1,-1,4,-2,0,0,1,0
1539353958452574,-2,-2,-3,-1,-1,0,1,1
1539353958452574,-2,-2,0,0,-1,-1,-1,-2
1539353958468617,0,0,7,0,0,0,-1,-1
1539353958468617,0,-3,-5,-3,0,-1,1,1
1539353958475532,-1,0,7,0,-1,-1,1,1
1539353958475532,-1,0,2,0,-1,0,0,0
1539353958504455,-2,1,-2,0,-2,-2,-2,-1
1539353958504455,1,0,2,1,-2,0,0,-1
1539353958519554,-1,0,-4,-1,0,0,-1,-1
1539353958519554,0,0,-1,-1,-1,-1,-2,0
1539353958544320,0,-1,3,1,-1,0,0,1
1539353958544320,0,-1,-2,1,-1,1,0,0
1539353958545317,-2,-1,3,-3,0,-1,0,-1
1539353958545317,0,1,4,1,0,-1,0,-1
1539353958549473,-1,-3,-21,-4,-2,0,-1,0
1539353958549473,-2,0,-2,1,0,-2,-1,0
1539353958558290,-1,0,1,1,0,-2,0,2
1539353958558290,0,1,-7,-2,0,0,-2,0
1539353958560277,0,0,-2,-1,-1,0,0,0
1539353958560277,0,1,4,0,-2,0,0,-1
1539353958572390,0,1,3,0,0,-1,1,-1
1539353958572390,-2,1,14,2,-1,-1,-1,-1
1539353958575237,1,-2,-18,-3,-2,-1,0,-1
1539353958575237,1,-1,-2,0,-2,0,1,0
1539353958578367,0,0,0,0,-3,0,0,-1
1539353958578367,0,0,3,0,-1,0,-1,0
1539353958617230,-6,-3,-2,-2,0,1,-1,0
1539353958617230,6,0,0,0,0,-2,-3,0
1539353958648043,3,2,13,1,2,0,-1,0
1539353958648043,3,-3,-15,-4,-1,0,-2,1
1539353958656065,-7,0,6,2,0,-1,1,-1
1539353958656065,-1,-4,-10,-3,-1,0,-1,-1
1539353958657021,-2,-2,6,0,0,0,1,-1
1539353958657021,-3,1,3,2,0,0,1,-2
1539353958663004,1,3,5,1,0,1,1,-1
1539353958663004,-3,-6,-7,-1,-1,-1,-2,-1
1539353958664998,5,0,-2,0,-2,0,0,1
1539353958664998,1,1,9,1,0,0,0,0
1539353958677964,2,-1,4,1,-1,0,-1,0
1539353958677964,-2,2,4,1,-2,1,-1,1
1539353958732816,0,-3,1,-2,-1,-1,1,1
1539353958732816,-1,0,1,-1,-1,0,1,-2
1539353958732816,-2,1,-1,-1,-1,-1,-1,-1
1539353958732816,-2,-1,-2,0,0,0,0,0
1539353958744928,0,0,-5,-2,-1,-2,0,1
1539353958744928,1,0,-3,-1,-3,-3,1,0
1539353958745782,0,0,3,0,-2,-1,-3,0
1539353958745782,1,-2,-2,-1,0,0,1,0
1539353958751910,2,-3,-6,-1,-1,-1,-1,-1
1539353958751910,0,2,14,2,-2,-1,-2,-1
1539353958752909,-1,-2,-4,-1,-1,0,0,1
1539353958752909,-2,-1,5,-1,-2,0,-1,1
1539353958759770,0,-2,-19,-3,0,-2,-1,0
1539353958759770,0,-1,1,-1,0,0,-2,0
1539353958766890,0,-2,-3,-1,-1,0,2,-1
1539353958766890,-2,0,-4,1,-2,0,-3,-2
1539353958782683,0,1,10,2,0,0,-1,-1
1539353958782683,-2,0,-5,0,-1,0,0,0
1539353958783680,-2,1,-4,-2,0,-2,0,-1
1539353958783680,1,1,0,1,-1,1,0,1
1539353958811605,1,-1,2,0,-2,-1,-1,-2
1539353958811605,1,0,3,2,0,-1,0,-1
1539353958819736,-2,-1,0,-1,0,-1,-1,-2
1539353958819736,0,-1,-3,-1,0,-1,0,0
1539353958821645,-1,1,3,0,1,0,-2,0
1539353958821645,-2,-3,-3,-2,1,0,0,0
1539353958850669,-1,-1,2,-1,0,0,-1,1
1539353958850669,-1,0,-5,-2,-3,-1,0,0
1539353958852496,0,1,10,0,0,-2,1,-1
1539353958852496,2,0,5,1,1,-2,0,-1
1539353958853493,-2,-3,-7,-2,-1,0,-2,-2
1539353958853493,1,-1,-9,-4,0,0,-1,0
1539353958878567,-1,0,9,1,-1,-2,0,0
1539353958878567,-1,-1,-5,0,0,-1,-1,-1
1539353958895381,0,-1,4,1,-1,0,1,0
1539353958895381,0,1,5,1,-1,-1,1,-1
1539353958896378,0,-1,-3,1,0,-1,1,1
1539353958896378,-1,0,-5,0,-1,1,-1,0
1539353958902508,0,0,-1,1,0,-2,-1,-1
1539353958902508,0,0,1,0,0,0,-1,0
1539353958904358,0,-1,-7,-4,-1,0,0,0
1539353958904358,0,-2,-5,0,-2,1,-1,0
1539353958916456,0,1,2,-1,-1,-1,0,0
1539353958916456,-2,-2,2,-1,0,-1,-1,-2
1539353958924311,-1,-1,-3,0,0,0,1,-1
1539353958924311,0,-1,1,-1,1,-2,-1,0
1539353958925302,0,-1,1,0,-2,0,0,-3
1539353958925302,1,0,-1,1,0,-2,-1,0
