timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539338236569871,-2,9,0,-1,0,1,-3,0
1539338236569871,-1,3,0,1,0,-1,-3,-1
1539338236570867,2,-7,0,0,-1,0,3,-1
1539338236570867,-2,-5,-1,-1,-2,-3,-1,-3
1539338236571865,0,5,0,-1,-1,1,-3,0
1539338236571865,-14,3,0,2,1,2,-2,-6
1539338236574857,1,-4,-1,0,-1,-1,2,1
1539338236574857,0,-6,-4,-2,-2,-2,0,1
1539338236581839,-3,1,0,-1,2,0,-2,-1
1539338236581839,3,4,1,-2,0,0,-3,0
1539338236591812,2,-7,1,0,1,0,2,2
1539338236591812,-4,1,2,-2,-1,-1,1,-3
1539338236605775,0,2,-1,-1,0,1,-2,-2
1539338236605775,2,2,-1,2,-1,-1,-2,0
1539338236613755,1,-4,-2,-1,-1,0,1,0
1539338236613755,0,-4,-2,-2,-2,-1,1,-1
1539338236619742,0,4,-2,0,-3,-2,0,0
1539338236619742,-1,0,0,1,-1,-1,-1,0
1539338236634698,5,-5,0,0,-1,0,1,2
1539338236634698,-6,-2,0,1,0,0,-3,-3
1539338236645672,-2,3,1,-1,1,0,-2,-1
1539338236645672,0,-2,2,-1,1,-1,-1,0
1539338236658643,2,-1,-2,-3,-2,-2,0,0
1539338236658643,1,-2,-4,-3,-2,0,1,-2
1539338236659631,-5,-5,1,2,0,0,-1,-2
1539338236659631,6,1,-4,-2,-2,-2,-3,-1
1539338236712490,-30,2,2,0,-1,1,1,-4
1539338236712490,-1,6,0,1,2,-1,-4,-1
1539338236713487,-1,2,-1,1,-3,0,-2,0
1539338236713487,-4,-8,-2,1,3,1,4,0
1539338236714627,32,-7,-7,-5,-4,-2,0,5
1539338236714627,-7,5,-1,1,0,0,-2,-3
1539338236718495,-2,10,0,-2,1,-1,-3,2
1539338236718495,6,-2,-1,-1,-3,0,2,1
1539338236719471,1,-7,-2,0,0,-4,0,-2
1539338236719471,0,-1,2,1,2,1,-2,-1
1539338236724560,-26,17,8,1,2,-1,-2,-4
1539338236724560,4,-7,0,-1,-1,-1,1,1
1539338236733521,-4,-5,-1,-1,-1,0,-1,-2
1539338236733521,-6,1,1,-2,0,0,-1,-2
1539338236746436,3,-3,-2,-1,0,0,-1,0
1539338236746436,0,-6,0,1,1,-1,2,0
1539338236755376,14,-33,-7,-5,-6,-3,-3,-7
1539338236755376,27,-36,-10,-1,0,-2,-2,4
1539338236769518,-3,4,-1,1,3,0,0,-1
1539338236769518,1,-2,-1,-2,-2,-2,2,0
1539338236778314,12,-8,-4,-2,-1,0,-1,-3
1539338236778314,4,-1,0,0,-4,-1,-2,0
1539338236793281,5,-7,-8,-3,-1,-2,-4,-1
1539338236793281,12,3,4,1,0,1,0,2
1539338236794272,-12,6,2,1,1,0,1,1
1539338236794272,-12,17,3,-1,-1,0,-1,0
1539338236815254,-12,1,1,0,0,0,-1,-3
1539338236815254,-5,1,0,0,-2,-1,0,0
1539338236817210,-7,3,1,0,1,0,2,-2
1539338236817210,15,-10,-4,-2,0,-2,-3,-1
1539338236829327,12,-7,-3,-1,-3,-2,-1,1
1539338236829327,6,-7,-2,-1,-1,-1,0,-1
1539338236838153,-12,6,2,1,0,0,0,-1
1539338236838153,-3,2,-3,-1,-1,1,0,-1
1539338236853179,-16,-6,-1,0,-1,-1,-1,-6
1539338236853179,11,-10,-3,-2,-1,-2,1,0
1539338236859179,4,-2,-2,-3,-3,-3,0,4
1539338236859179,15,19,0,-1,-2,0,-1,6
1539338236875064,4,3,-2,-1,0,2,-1,3
1539338236875064,0,-2,-1,0,-1,-1,0,2
1539338236877053,-1,2,2,1,0,0,0,-2
1539338236877053,-8,0,-2,-3,-1,-2,-2,0
1539338236889195,7,-4,-2,0,1,-1,1,4
1539338236889195,-6,-2,2,2,-1,-1,0,-3
1539338236897995,3,4,0,1,0,-1,0,2
1539338236897995,-11,9,2,2,0,1,-1,-2
1539338236913134,-5,2,0,2,-1,0,-1,1
