timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539337426627656,1,-22,3,4,-2,0,4,-1
1539337426627656,-13,30,13,0,-1,-3,-6,-3
1539337426628651,0,3,-10,-2,2,-1,-1,1
1539337426628651,-3,7,4,-3,0,0,-2,-2
1539337426630647,3,-19,-5,0,-3,1,4,0
1539337426630647,-2,14,4,2,2,0,-2,0
1539337426631650,-6,4,1,-1,-1,0,-3,-2
1539337426631650,0,-2,1,0,1,0,-1,-1
1539337426639623,19,-22,-7,-2,-4,-3,2,-1
1539337426639623,-1,13,2,-3,-1,0,-3,-1
1539337426644609,-3,3,5,-1,0,-1,-3,-1
1539337426644609,16,-25,-8,-1,2,0,-2,-1
1539337426659865,-6,-18,4,3,1,1,2,-4
1539337426659865,-2,8,-2,0,1,1,-2,0
1539337426669587,-1,7,1,-2,0,1,-1,0
1539337426669587,5,-5,-1,-1,0,-2,0,1
1539337426674529,-11,13,1,1,-1,-1,3,0
1539337426674529,-5,9,-10,-6,0,0,-2,-1
1539337426698583,6,-1,4,0,2,0,-1,4
1539337426698583,-10,3,10,3,0,1,-3,-3
1539337426737435,-7,13,0,0,2,1,-4,-2
1539337426737435,0,-1,-1,-1,0,0,-2,-1
1539337426737435,10,-32,-10,0,-4,-1,4,-2
1539337426737435,-13,22,6,1,1,1,-2,1
1539337426738360,-6,1,4,0,1,-2,-2,-2
1539337426738360,-5,9,3,1,2,0,-1,-1
1539337426742438,-13,-18,1,5,-2,-2,5,-3
1539337426742438,19,-1,-5,-6,-1,-2,-4,1
1539337426750469,-11,16,0,-2,2,-1,0,1
1539337426750469,-5,6,-3,0,3,0,-1,1
1539337426756312,8,-32,5,-2,-7,-5,1,-3
1539337426756312,-4,5,-6,2,0,1,-3,-4
1539337426772542,2,5,-2,-1,-1,0,-5,1
1539337426772542,10,-1,-5,-4,-1,0,-3,1
1539337426779492,-6,4,-4,4,-1,0,3,1
1539337426779492,-1,14,4,-3,-2,-1,-1,-1
1539337426788230,6,-3,2,-3,-3,-1,-2,-1
1539337426788230,-2,-6,-12,-1,-2,-1,1,-1
1539337426802403,5,-3,-1,0,-2,3,0,-1
1539337426802403,-16,10,-1,1,2,-1,-1,-3
1539337426810167,0,2,2,1,2,0,0,-1
1539337426810167,-4,0,3,0,1,-1,-1,1
1539337426825410,10,-4,-6,-5,-1,0,3,2
1539337426825410,-3,10,0,-2,0,-1,1,1
1539337426826401,18,-6,2,-2,-3,-1,-2,2
1539337426826401,1,-5,2,5,3,1,1,0
1539337426849065,2,-14,19,3,-4,-1,-2,-2
1539337426849065,-6,-3,-35,-13,-1,0,-2,-1
1539337426849065,6,0,17,-1,-2,-2,0,2
1539337426849065,13,-5,-9,-5,-3,-2,-3,-3
1539337426862233,2,-9,-6,3,5,-1,2,2
1539337426862233,3,5,4,0,1,0,0,2
1539337426870188,-5,5,-22,-2,2,1,-1,1
1539337426870188,3,0,11,-3,-1,0,2,0
1539337426885263,-6,-4,3,-1,-2,0,0,-4
1539337426885263,2,-9,-2,0,0,-2,-2,-2
1539337426885964,-8,-1,-5,-1,0,0,1,1
1539337426885964,-6,2,1,1,0,-1,-1,-1
1539337426908107,2,-2,-6,2,0,-1,1,1
1539337426908107,-4,7,4,-2,2,-2,-2,1
1539337426908903,2,-11,-7,1,0,-1,-2,1
1539337426908903,1,-3,4,-1,-1,2,-1,0
1539337426921877,-22,6,6,3,-2,0,0,-4
1539337426921877,0,7,16,7,2,0,1,0
1539337426929847,-3,-1,-23,-9,-1,-2,0,-1
1539337426929847,4,2,-2,0,0,0,2,3
1539337426945099,7,-6,10,-2,-2,-1,-1,-1
1539337426945099,-2,5,4,4,2,0,0,1
1539337426945805,-3,2,4,-1,1,-1,1,-2
1539337426945805,-6,-1,-3,1,2,-1,-1,-1
1539337426967753,4,2,-8,-3,2,0,2,3
1539337426967753,-4,14,5,-2,-2,-1,-1,1
1539337426968742,-12,28,13,5,1,2,1,-3
1539337426968742,-17,42,4,0,0,2,2,3
1539337426982068,6,3,-1,-1,-2,0,0,2
1539337426982068,15,-12,-5,-2,-1,-3,0,1
1539337426990715,8,-11,-3,0,-1,1,-1,-1
1539337426990715,2,-14,-2,-1,-1,2,-1,-2
1539337427004687,-18,0,8,0,1,-2,-1,-5
1539337427004687,-23,15,6,4,1,1,-3,-5
1539337427005645,-12,18,5,-2,0,0,1,1
1539337427005645,5,-11,0,1,1,-2,0,-1
